id;schoolId;schoolType;sex;scorePISAMath;scorePISARead;scorePISAScie;age;scoreKKS;scoreKNS;scoreTMR;scoreKKS_5cat;score5KNS_5cat;scoreTMR_5cat;parEdu;hisei;noPersHous;escs;wealth;income;hedres;cultpos;homepos;studrel;disclima;libuse;ictres;usesch;attcomp;rfsintrp;rfsfumat
2255;103;LP;female;356,40;404,77;403,20;17,5;172;50;40;medium;medium;low;11;23;5;-1,368;-0,928;4,6;1,049;-1,739;-0,852;-0,625;0,351;0,189;0,318;-1,644;0,861;0,749;0,511
2256;103;LP;male;427,46;432,85;473,17;17,5;152;49;44;low;medium;low;16;51;5;0,596;0,251;10,8;1,049;0,311;0,410;-0,308;0,642;0,747;0,318;0,785;0,861;2,215;1,142
2257;104;LP;male;532,08;553,72;549,66;17,2;155;51;47;low;medium;medium;12;29;6;-1,124;-1,116;4,0;0,078;-0,560;-1,003;-0,308;0,927;0,081;-0,782;0,885;-0,751;-0,292;-0,816
2258;104;LP;male;458,52;531,03;455,34;17,7;176;48;41;medium;medium;low;11;30;3;-1,056;-0,494;6,3;0,078;-0,560;-0,535;-0,873;1,838;0,894;0,318;-0,097;-0,751;1,230;-1,690
2259;104;LP;male;552,31;544,83;550,42;17,7;191;49;57;high;medium;high;11;39;4;-0,749;-0,494;6,3;0,078;0,311;-0,363;-0,625;1,838;0,970;-0,782;0,116;0,861;-0,719;1,142
2260;104;LP;male;450,36;465,33;471,83;17,7;145;47;13;low;medium;very low;16;66;5;1,256;1,393;25,0;0,078;-0,560;1,069;-0,873;-0,776;-0,864;1,325;0,683;0,861;-0,078;-1,690
2261;104;LP;male;580,86;601,90;572,66;;;;;;;;11;34;5;-0,811;-0,250;7,5;1,049;-0,560;-0,183;-0,625;1,262;-0,217;0,318;0,288;0,861;0,416;2,680
2262;104;LP;male;379,15;415,30;404,35;17,2;169;48;43;medium;medium;low;12;38;4;-0,560;-0,494;6,3;1,049;0,311;-0,183;-0,308;1,838;0,081;1,325;0,563;0,861;0,749;0,235
2263;104;LP;male;425,11;384,93;420,64;17,6;173;50;52;medium;medium;medium;3;;5;-3,188;-0,928;4,6;1,049;1,314;-0,278;-1,948;0,026;0,189;1,325;0,434;0,861;0,749;-0,051
2264;104;LP;male;545,73;524,16;554,26;17,1;196;47;56;high;medium;high;11;51;5;0,137;1,393;25,0;1,049;-0,560;1,069;-0,308;1,838;-0,864;2,211;0,980;0,861;0,749;-0,816
2265;104;LP;male;547,30;538,16;555,79;17,6;144;39;48;low;low;medium;11;34;4;-1,378;-1,470;3,1;-0,599;-1,739;-1,620;-1,290;0,927;-1,847;-0,782;-1,644;0,861;-1,257;1,142
2266;104;LP;male;475,77;568,28;499,81;17,4;158;45;52;low;medium;medium;12;40;6;-0,273;0,251;10,8;0,078;0,311;0,410;-0,625;0,642;-0,217;1,325;0,563;0,861;-0,292;-0,378
2267;104;LP;male;546,35;613,85;577,26;17,7;189;44;49;medium;low;medium;12;56;5;0,615;1,054;19,5;0,078;1,314;1,579;-0,625;1,262;-1,847;1,325;0,563;0,861;1,230;-1,690
2268;104;LP;male;487,85;500,97;520,90;17,7;231;64;49;very high;very high;medium;12;51;4;0,411;0,767;15,8;1,049;1,314;1,400;-1,089;0,927;-0,864;0,318;1,019;0,861;0,151;0,871
2269;104;LP;male;538,35;563,40;569,59;;;;;;;;11;45;4;-0,364;0,000;9,0;1,049;0,311;0,206;0,166;0,927;-0,456;2,211;0,980;-2,440;2,215;0,235
2270;106;LP;female;414,28;484,81;422,17;17,6;202;52;42;high;high;low;16;43;7;0,010;-1,116;4,0;1,049;1,314;-0,535;-1,089;0,927;0,189;0,318;-0,097;-1,417;0,151;-0,051
2271;106;LP;female;390,29;470,86;370,80;17,6;201;58;39;high;high;low;16;43;7;0,077;-0,722;5,3;0,078;1,314;-0,363;0,166;-1,211;0,970;0,318;0,288;-0,108;0,749;1,142
2272;106;LP;female;485,81;503,07;411,63;17,4;188;43;42;medium;low;low;12;56;5;-0,080;-0,494;6,3;1,049;0,311;-0,183;-1,290;0,642;0,189;0,318;1,072;0,861;-1,257;-0,051
2273;106;LP;female;421,50;489,19;431,95;17,9;180;50;46;medium;medium;medium;11;43;5;-0,337;0,000;9,0;1,049;1,314;0,410;0,666;0,642;0,189;0,318;0,434;-0,108;0,749;-0,378
2274;106;LP;female;586,67;606,45;593,75;17,8;191;59;53;high;very high;high;12;34;6;-0,667;-0,722;5,3;0,078;1,314;-0,183;0,166;1,262;0,675;1,325;0,116;0,861;0,416;-0,051
2275;106;LP;female;473,10;483,29;495,60;17,7;189;57;44;medium;high;low;11;40;4;-0,576;-0,494;6,3;1,049;1,314;0,007;-0,308;1,262;0,371;0,318;-0,378;-0,751;0,151;1,142
2276;106;LP;female;450,36;475,86;374,25;17,4;216;55;47;very high;high;medium;11;31;4;-0,962;-0,494;6,3;1,049;-0,560;-0,363;-0,625;1,262;-0,217;0,318;0,288;-0,108;-0,292;1,142
2277;106;LP;female;602,35;670,15;633,62;17,3;200;53;54;high;high;high;12;33;6;-0,897;-1,116;4,0;0,078;0,311;-0,697;-0,308;0,642;0,189;-0,782;-0,378;0,861;1,230;0,235
